muTilde,mqt3,mut3,mdt3,cG,cW,cH,cHD,cHBox,cHB,cHW,cHWB,cHG,cuH_33,cdH_33,cHu_33,cHd_33,cHud_33,cHq1_33,cHq3_33,cuG_33,cdG_33,cuW_33,cdW_33,cuB_33,cdB_33,cuu_3333,cdd_3333,cqq1_3333,cqq3_3333,cqu1_3333,cqu8_3333,cqd1_3333,cqd8_3333,cud1_3333,cud8_3333,cquqd1_3333,cquqd8_3333
0.90,1.11,5.32,5.82,3.94106e-05,-1.03619e-07,-9.01794e-04,-9.61221e-04,-3.22090e-04,6.67417e-06,1.09131e-04,-3.08041e-05,2.23759e-04,8.12122e-05,4.53235e-06,3.36327e-05,2.31010e-06,4.20026e-07,1.58725e-04,-2.03530e-04,-2.08971e-04,-3.68092e-07,3.89041e-06,2.00783e-07,2.19142e-05,-1.46812e-07,-1.73393e-04,-4.03344e-05,-1.96818e-05,-4.91155e-05,8.99826e-05,2.07413e-04,3.16434e-06,-2.36816e-04,-2.84443e-05,1.45871e-04,4.29787e-08,1.64531e-09
0.96,6.51,3.27,8.68,3.59972e-06,-9.57721e-06,-1.66829e-04,-3.64752e-05,-1.52214e-04,7.00215e-06,3.18343e-06,-8.97518e-07,2.91563e-05,-8.20212e-05,-1.65128e-06,-2.71481e-05,2.75264e-06,9.31508e-07,-9.67107e-07,-2.01205e-05,-2.73737e-05,-3.06835e-07,7.91022e-06,1.51640e-07,-6.11033e-06,-1.53030e-07,-1.45417e-05,-4.69950e-06,-1.94991e-05,-6.61957e-06,2.85649e-05,2.38548e-05,5.74052e-06,7.99227e-06,-1.68230e-06,-9.45666e-06,8.62156e-09,1.79395e-10
1.46,5.08,3.95,5.00,4.25120e-06,-3.78155e-06,-1.35397e-04,-4.94660e-05,-9.58942e-05,4.93876e-06,5.22448e-06,-1.47382e-06,2.62184e-05,-4.31928e-05,-9.42508e-07,-1.40691e-05,1.13833e-06,6.48660e-07,7.44223e-06,-1.44542e-05,-2.63743e-05,-2.46405e-07,4.93116e-06,1.24948e-07,-2.24545e-06,-1.16892e-07,-1.84943e-05,-4.80727e-06,-1.22208e-05,-3.70658e-06,3.36886e-05,1.92437e-05,2.76322e-06,-6.06345e-06,-3.81837e-06,-5.11982e-06,2.48535e-08,3.98302e-10
0.75,8.59,1.54,8.37,1.07980e-05,-1.63842e-05,-6.26397e-04,-3.12718e-05,-4.92203e-04,3.10193e-05,1.83041e-06,-5.16028e-07,1.06269e-04,-2.76608e-04,-5.93257e-06,-1.16648e-04,5.00326e-06,3.54823e-06,-1.65936e-05,2.94905e-06,-7.43704e-05,-1.10664e-06,2.63715e-05,4.40320e-07,-2.90751e-05,-5.00579e-07,-2.12882e-05,-1.34230e-05,-6.41726e-05,-1.88111e-06,1.49298e-05,7.14197e-05,1.39689e-05,6.22356e-05,2.49278e-06,-6.29954e-05,5.43085e-09,1.48307e-10
0.66,1.95,5.23,3.32,1.52775e-05,-1.73173e-05,-3.45699e-04,-3.26873e-04,-2.31119e-04,4.05672e-06,3.54095e-05,-9.99492e-06,7.92901e-05,-4.94730e-05,2.23027e-07,1.90623e-05,5.08692e-06,4.32048e-07,6.98882e-05,-1.42629e-04,-1.04090e-04,-2.17178e-07,4.41129e-06,1.28551e-07,1.46890e-05,-1.05186e-07,-1.03848e-04,-1.68956e-05,-1.42145e-05,-4.02815e-05,7.55787e-05,8.61978e-05,5.21252e-06,-8.32968e-05,-2.41143e-05,5.26955e-05,1.61870e-08,6.79769e-10
0.65,7.18,6.59,6.94,1.93299e-06,-2.14596e-05,-7.47015e-05,-4.15119e-05,-1.56508e-04,1.80411e-06,2.61799e-06,-7.38251e-07,1.09249e-05,-8.47980e-05,-1.34510e-06,-1.22825e-05,6.05036e-06,2.54133e-07,-6.53401e-07,-7.62581e-05,-1.31041e-05,-8.31739e-08,2.67932e-06,4.72949e-08,-4.26674e-07,-4.43333e-08,-1.43354e-05,-3.98203e-06,-7.47541e-06,-3.30128e-05,1.39794e-05,8.84279e-06,4.81095e-06,-4.28938e-06,2.26922e-06,-9.31446e-07,9.97130e-10,9.66196e-11
1.28,4.44,5.50,7.35,3.58762e-06,-4.92580e-06,-1.05319e-04,-6.46748e-05,-7.82555e-05,2.70082e-06,6.85564e-06,-1.93400e-06,2.17050e-05,-2.95414e-05,-4.63204e-07,-4.12279e-06,1.42794e-06,3.61118e-07,1.16617e-05,-2.66193e-05,-2.58657e-05,-1.45411e-07,3.15588e-06,8.37115e-08,7.42327e-07,-7.36060e-08,-2.19800e-05,-4.09791e-06,-8.28168e-06,-6.91705e-06,3.13268e-05,2.17689e-05,2.50015e-06,-1.14815e-05,-5.07114e-06,6.40059e-06,1.34689e-08,3.19523e-10
1.41,7.30,5.23,3.36,3.80450e-06,-4.39223e-06,-7.60895e-05,-2.62245e-05,-6.69713e-05,2.83811e-06,2.53262e-06,-7.14281e-07,1.45454e-05,-3.28049e-05,-6.44410e-07,-9.87289e-06,1.27150e-06,3.95351e-07,2.40396e-06,-1.28540e-05,-1.49948e-05,-1.36466e-07,3.40723e-06,7.11683e-08,-1.54983e-06,-6.49872e-08,-1.18140e-05,-4.47645e-06,-8.43282e-06,-5.10961e-06,1.85151e-05,7.06010e-07,2.40584e-06,-1.17859e-05,-1.86716e-06,-1.37963e-05,6.88559e-09,3.02334e-10
1.26,5.47,5.22,4.66,3.50271e-06,-5.38331e-06,-9.27125e-05,-4.44760e-05,-7.82121e-05,2.89879e-06,4.51195e-06,-1.27289e-06,1.81774e-05,-3.49174e-05,-6.25962e-07,-7.67297e-06,1.54174e-06,3.99206e-07,6.43736e-06,-2.11891e-05,-2.06047e-05,-1.46441e-07,3.51900e-06,8.11092e-08,-5.76728e-07,-7.30593e-08,-1.66746e-05,-4.14111e-06,-8.87914e-06,-6.48586e-06,2.64735e-05,1.23924e-05,2.72319e-06,-9.74938e-06,-3.50577e-06,-3.08703e-06,1.00260e-08,3.02828e-10
0.99,1.85,5.91,3.69,1.61028e-05,-5.36704e-06,-3.54295e-04,-3.52994e-04,-1.62995e-04,3.61827e-06,3.94817e-05,-1.11570e-05,8.52434e-05,-1.61196e-07,1.08402e-06,1.54147e-05,2.10093e-06,3.46769e-07,7.02064e-05,-1.02285e-04,-9.82193e-05,-2.15797e-07,3.35704e-06,1.26010e-07,1.17102e-05,-9.56056e-08,-9.11195e-05,-1.68317e-05,-1.15365e-05,-2.44091e-05,6.01694e-05,8.64465e-05,2.80925e-06,-9.14595e-05,-1.79684e-05,5.56931e-05,2.60929e-08,9.29339e-10
