m1,mut3,cG,cuG_33,cqu1_1133,cuu_3333,cqq1_3333,cqd1_3311,cqu8_3311,cqu8_1133,cHBox,cHB,cHG,cuH_33,cHq1_33
0.30,0.30,2.60144e-04,-1.76597e-04,-1.08535e-06,-1.33581e-04,-7.23535e-05,3.25604e-06,-1.71695e-03,-1.28527e-03,-1.02828e-02,8.18014e-04,2.71128e-03,-7.21538e-04,1.39604e-04
0.30,0.40,1.46331e-04,-1.21843e-04,-2.95027e-07,-7.36500e-05,-4.06989e-05,1.83152e-06,-9.65783e-04,-6.97867e-04,-5.78407e-03,4.60133e-04,1.52509e-03,-4.46794e-04,9.69423e-05
0.30,0.50,9.36517e-05,-8.83283e-05,-6.52314e-08,-4.81745e-05,-2.60473e-05,1.17217e-06,-6.18101e-04,-4.36804e-04,-3.70181e-03,2.94485e-04,9.76059e-04,-3.01854e-04,7.05104e-05
0.30,0.60,6.50359e-05,-6.65881e-05,1.03726e-08,-3.46715e-05,-1.80884e-05,8.14010e-07,-4.29237e-04,-2.98908e-04,-2.57070e-03,2.04503e-04,6.77819e-04,-2.16738e-04,5.32602e-05
0.30,0.70,4.77815e-05,-5.17975e-05,3.54479e-08,-2.64584e-05,-1.32894e-05,5.98048e-07,-3.15358e-04,-2.17392e-04,-1.88868e-03,1.50247e-04,4.97990e-04,-1.62772e-04,4.14827e-05
0.30,0.80,3.65827e-05,-4.13331e-05,4.22131e-08,-2.09945e-05,-1.01747e-05,4.57881e-07,-2.41446e-04,-1.65242e-04,-1.44602e-03,1.15033e-04,3.81273e-04,-1.26528e-04,3.31312e-05
0.30,0.90,2.89049e-05,-3.36853e-05,4.20578e-08,-1.71300e-05,-8.03928e-06,3.61782e-07,-1.90772e-04,-1.29869e-04,-1.14253e-03,9.08904e-05,3.01253e-04,-1.01068e-04,2.70180e-05
0.30,1.00,2.34129e-05,-2.79416e-05,3.93618e-08,-1.42743e-05,-6.51182e-06,2.93044e-07,-1.54525e-04,-1.04773e-04,-9.25451e-04,7.36212e-05,2.44015e-04,-8.25290e-05,2.24218e-05
0.30,1.10,1.93495e-05,-2.35270e-05,3.58939e-08,-1.20935e-05,-5.38167e-06,2.42185e-07,-1.27707e-04,-8.63215e-05,-7.64836e-04,6.08440e-05,2.01665e-04,-6.86260e-05,1.88861e-05
0.30,1.20,1.62590e-05,-2.00661e-05,3.23765e-08,-1.03850e-05,-4.52210e-06,2.03502e-07,-1.07309e-04,-7.23578e-05,-6.42675e-04,5.11259e-05,1.69455e-04,-5.79408e-05,1.61124e-05
0.30,1.30,1.38538e-05,-1.73057e-05,2.90928e-08,-9.01882e-06,-3.85315e-06,1.73399e-07,-9.14351e-05,-6.15342e-05,-5.47604e-04,4.35629e-05,1.44387e-04,-4.95567e-05,1.38991e-05
0.30,1.40,1.19454e-05,-1.50709e-05,2.61363e-08,-7.90762e-06,-3.32236e-06,1.49512e-07,-7.88395e-05,-5.29739e-05,-4.72169e-04,3.75619e-05,1.24497e-04,-4.28602e-05,1.21065e-05
0.30,1.50,1.04057e-05,-1.32375e-05,2.35188e-08,-6.99086e-06,-2.89414e-06,1.30242e-07,-6.86779e-05,-4.60864e-05,-4.11312e-04,3.27205e-05,1.08451e-04,-3.74288e-05,1.06354e-05
0.30,1.60,9.14568e-06,-1.17158e-05,2.12188e-08,-6.22521e-06,-2.54368e-06,1.14470e-07,-6.03615e-05,-4.04620e-05,-3.61504e-04,2.87583e-05,9.53183e-05,-3.29640e-05,9.41398e-06
0.30,1.70,8.10136e-06,-1.04395e-05,1.92030e-08,-5.57893e-06,-2.25322e-06,1.01399e-07,-5.34690e-05,-3.58094e-05,-3.20225e-04,2.54745e-05,8.44342e-05,-2.92501e-05,8.38935e-06
0.30,1.80,7.22621e-06,-9.35903e-06,1.74361e-08,-5.02830e-06,-2.00982e-06,9.04455e-08,-4.76930e-05,-3.19167e-05,-2.85633e-04,2.27226e-05,7.53132e-05,-2.61281e-05,7.52172e-06
0.30,1.90,6.48558e-06,-8.43652e-06,1.58846e-08,-4.55523e-06,-1.80383e-06,8.11755e-08,-4.28048e-05,-2.86267e-05,-2.56358e-04,2.03937e-05,6.75941e-05,-2.34791e-05,6.78084e-06
0.30,2.00,5.85323e-06,-7.64285e-06,1.45187e-08,-4.14579e-06,-1.62795e-06,7.32609e-08,-3.86313e-05,-2.58210e-05,-2.31363e-04,1.84053e-05,6.10037e-05,-2.12123e-05,6.14335e-06
0.30,2.10,5.30906e-06,-6.95528e-06,1.33127e-08,-3.78901e-06,-1.47660e-06,6.64498e-08,-3.50398e-05,-2.34090e-05,-2.09853e-04,1.66942e-05,5.53322e-05,-1.92578e-05,5.59101e-06
0.30,2.20,4.83738e-06,-6.35581e-06,1.22441e-08,-3.47625e-06,-1.34542e-06,6.05462e-08,-3.19267e-05,-2.13202e-05,-1.91209e-04,1.52110e-05,5.04163e-05,-1.75608e-05,5.10939e-06
0.30,2.30,4.42589e-06,-5.83011e-06,1.12942e-08,-3.20053e-06,-1.23097e-06,5.53958e-08,-2.92108e-05,-1.94993e-05,-1.74944e-04,1.39171e-05,4.61276e-05,-1.60782e-05,4.68699e-06
0.30,2.40,4.06475e-06,-5.36661e-06,1.04468e-08,-2.95623e-06,-1.13052e-06,5.08756e-08,-2.68273e-05,-1.79023e-05,-1.60669e-04,1.27815e-05,4.23637e-05,-1.47753e-05,4.31455e-06
0.30,2.50,3.74607e-06,-4.95594e-06,9.68832e-09,-2.73877e-06,-1.04189e-06,4.68870e-08,-2.47241e-05,-1.64939e-05,-1.48072e-04,1.17794e-05,3.90424e-05,-1.36243e-05,3.98453e-06
0.30,2.60,3.46345e-06,-4.59040e-06,9.00724e-09,-2.54434e-06,-9.63287e-07,4.33496e-08,-2.28588e-05,-1.52456e-05,-1.36901e-04,1.08907e-05,3.60969e-05,-1.26025e-05,3.69075e-06
0.30,2.70,3.21165e-06,-4.26364e-06,8.39372e-09,-2.36982e-06,-8.93253e-07,4.01980e-08,-2.11969e-05,-1.41339e-05,-1.26948e-04,1.00989e-05,3.34725e-05,-1.16913e-05,3.42813e-06
0.40,0.30,2.60144e-04,-1.36584e-04,-1.76364e-06,-1.44041e-04,-7.23535e-05,3.25604e-06,-1.71695e-03,-1.33922e-03,-1.02828e-02,8.18014e-04,2.71128e-03,-6.32842e-04,1.06866e-04
0.40,0.40,1.46331e-04,-9.93357e-05,-6.10507e-07,-7.51393e-05,-4.06989e-05,1.83152e-06,-9.65783e-04,-7.22963e-04,-5.78407e-03,4.60133e-04,1.52509e-03,-4.05865e-04,7.85273e-05
0.40,0.50,9.36517e-05,-7.48173e-05,-2.29991e-07,-4.71102e-05,-2.60473e-05,1.17217e-06,-6.18101e-04,-4.49910e-04,-3.70181e-03,2.94485e-04,9.76059e-04,-2.80625e-04,5.94559e-05
0.40,0.60,6.50359e-05,-5.80358e-05,-8.33182e-08,-3.29941e-05,-1.80884e-05,8.14010e-07,-4.29237e-04,-3.06361e-04,-2.57070e-03,2.04503e-04,6.77819e-04,-2.04738e-04,4.62628e-05
0.40,0.70,4.77815e-05,-4.61426e-05,-2.14342e-08,-2.47829e-05,-1.32894e-05,5.98048e-07,-3.15358e-04,-2.21917e-04,-1.88868e-03,1.50247e-04,4.97990e-04,-1.55525e-04,3.68560e-05
0.40,0.80,3.65827e-05,-3.74558e-05,5.83459e-09,-1.95027e-05,-1.01747e-05,4.57881e-07,-2.41446e-04,-1.68136e-04,-1.44602e-03,1.15033e-04,3.81273e-04,-1.21915e-04,2.99589e-05
0.40,0.90,2.89049e-05,-3.09441e-05,1.77856e-08,-1.58562e-05,-8.03928e-06,3.61782e-07,-1.90772e-04,-1.31800e-04,-1.14253e-03,9.08904e-05,3.01253e-04,-9.80031e-05,2.47752e-05
0.40,1.00,2.34129e-05,-2.59522e-05,2.25876e-08,-1.32038e-05,-6.51182e-06,2.93044e-07,-1.54525e-04,-1.06107e-04,-9.25451e-04,7.36212e-05,2.44015e-04,-8.04187e-05,2.07940e-05
0.40,1.10,1.93495e-05,-2.20502e-05,2.39525e-08,-1.11981e-05,-5.38167e-06,2.42185e-07,-1.27707e-04,-8.72714e-05,-7.64836e-04,6.08440e-05,2.01665e-04,-6.71287e-05,1.76778e-05
0.40,1.20,1.62590e-05,-1.89480e-05,2.36575e-08,-9.63563e-06,-4.52210e-06,2.03502e-07,-1.07309e-04,-7.30513e-05,-6.42675e-04,5.11259e-05,1.69455e-04,-5.68509e-05,1.51976e-05
0.40,1.30,1.38538e-05,-1.64445e-05,2.25857e-08,-8.38956e-06,-3.85315e-06,1.73399e-07,-9.14351e-05,-6.20518e-05,-5.47604e-04,4.35629e-05,1.44387e-04,-4.87455e-05,1.31945e-05
0.40,1.40,1.19454e-05,-1.43973e-05,2.11862e-08,-7.37684e-06,-3.32236e-06,1.49512e-07,-7.88395e-05,-5.33677e-05,-4.72169e-04,3.75619e-05,1.24497e-04,-4.22446e-05,1.15553e-05
0.40,1.50,1.04057e-05,-1.27035e-05,1.96893e-08,-6.54082e-06,-2.89414e-06,1.30242e-07,-6.86779e-05,-4.63910e-05,-4.11312e-04,3.27205e-05,1.08451e-04,-3.69537e-05,1.01984e-05
0.40,1.60,9.14568e-06,-1.12872e-05,1.82118e-08,-5.84158e-06,-2.54368e-06,1.14470e-07,-6.03615e-05,-4.07012e-05,-3.61504e-04,2.87583e-05,9.53183e-05,-3.25917e-05,9.06324e-06
0.40,1.70,8.10136e-06,-1.00917e-05,1.68102e-08,-5.25014e-06,-2.25322e-06,1.01399e-07,-5.34690e-05,-3.59998e-05,-3.20225e-04,2.54745e-05,8.44342e-05,-2.89544e-05,8.10471e-06
0.40,1.80,7.22621e-06,-9.07387e-06,1.55091e-08,-4.74503e-06,-2.00982e-06,9.04455e-08,-4.76930e-05,-3.20699e-05,-2.85633e-04,2.27226e-05,7.53132e-05,-2.58904e-05,7.28841e-06
0.40,1.90,6.48558e-06,-8.20065e-06,1.43160e-08,-4.30994e-06,-1.80383e-06,8.11755e-08,-4.28048e-05,-2.87515e-05,-2.56358e-04,2.03937e-05,6.75941e-05,-2.32859e-05,6.58786e-06
0.40,2.00,5.85323e-06,-7.44612e-06,1.32293e-08,-3.93235e-06,-1.62795e-06,7.32609e-08,-3.86313e-05,-2.59236e-05,-2.31363e-04,1.84053e-05,6.10037e-05,-2.10537e-05,5.98239e-06
0.40,2.10,5.30906e-06,-6.78994e-06,1.22432e-08,-3.60244e-06,-1.47660e-06,6.64498e-08,-3.50398e-05,-2.34941e-05,-2.09853e-04,1.66942e-05,5.53322e-05,-1.91264e-05,5.45573e-06
0.40,2.20,4.83738e-06,-6.21587e-06,1.13499e-08,-3.31244e-06,-1.34542e-06,6.05462e-08,-3.19267e-05,-2.13913e-05,-1.91209e-04,1.52110e-05,5.04163e-05,-1.74511e-05,4.99489e-06
0.40,2.30,4.42589e-06,-5.71090e-06,1.05409e-08,-3.05611e-06,-1.23097e-06,5.53958e-08,-2.92108e-05,-1.95592e-05,-1.74944e-04,1.39171e-05,4.61276e-05,-1.59859e-05,4.58946e-06
0.40,2.40,4.06475e-06,-5.26446e-06,9.80778e-09,-2.82841e-06,-1.13052e-06,5.08756e-08,-2.68273e-05,-1.79531e-05,-1.60669e-04,1.27815e-05,4.23637e-05,-1.46971e-05,4.23097e-06
0.40,2.50,3.74607e-06,-4.86790e-06,9.14284e-09,-2.62521e-06,-1.04189e-06,4.68870e-08,-2.47241e-05,-1.65373e-05,-1.48072e-04,1.17794e-05,3.90424e-05,-1.35576e-05,3.91250e-06
0.40,2.60,3.46345e-06,-4.51414e-06,8.53884e-09,-2.44310e-06,-9.63287e-07,4.33496e-08,-2.28588e-05,-1.52829e-05,-1.36901e-04,1.08907e-05,3.60969e-05,-1.25453e-05,3.62836e-06
0.40,2.70,3.21165e-06,-4.19726e-06,7.98928e-09,-2.27926e-06,-8.93253e-07,4.01980e-08,-2.11969e-05,-1.41661e-05,-1.26948e-04,1.00989e-05,3.34725e-05,-1.16419e-05,3.37382e-06
0.50,0.30,2.60144e-04,-1.07837e-04,-2.34475e-06,-1.56974e-04,-7.23535e-05,3.25604e-06,-1.71695e-03,-1.38545e-03,-1.02828e-02,8.18014e-04,2.71128e-03,-5.56396e-04,8.33462e-05
0.50,0.40,1.46331e-04,-8.17693e-05,-9.01709e-07,-7.93332e-05,-4.06989e-05,1.83152e-06,-9.65783e-04,-7.46127e-04,-5.78407e-03,4.60133e-04,1.52509e-03,-3.67819e-04,6.41549e-05
0.50,0.50,9.36517e-05,-6.35748e-05,-3.90725e-07,-4.80891e-05,-2.60473e-05,1.17217e-06,-6.18101e-04,-4.62696e-04,-3.70181e-03,2.94485e-04,9.76059e-04,-2.59754e-04,5.02575e-05
0.50,0.60,6.50359e-05,-5.05482e-05,-1.78674e-07,-3.27524e-05,-1.80884e-05,8.14010e-07,-4.29237e-04,-3.13946e-04,-2.57070e-03,2.04503e-04,6.77819e-04,-1.92424e-04,4.01366e-05
0.50,0.70,4.77815e-05,-4.09831e-05,-8.12826e-08,-2.41029e-05,-1.32894e-05,5.98048e-07,-3.15358e-04,-2.26678e-04,-1.88868e-03,1.50247e-04,4.97990e-04,-1.47835e-04,3.26346e-05
