muTilde,mqt3,mut3,mdt3,cG,cW,cH,cHD,cHBox,cHB,cHW,cHWB,cHG,cuH_33,cdH_33,cHu_33,cHd_33,cHud_33,cHq1_33,cHq3_33,cuG_33,cdG_33,cuW_33,cdW_33,cuB_33,cdB_33,cuu_3333,cdd_3333,cqq1_3333,cqq3_3333,cqu1_3333,cqu8_3333,cqd1_3333,cqd8_3333,cud1_3333,cud8_3333,cquqd1_3333,cquqd8_3333
0.90,1.11,5.32,5.82,3.9e-05,-1.0e-07,-9.0e-04,-9.6e-04,-3.2e-04,6.7e-06,1.1e-04,-3.1e-05,2.2e-04,8.1e-05,4.5e-06,3.4e-05,2.3e-06,4.2e-07,1.6e-04,-2.0e-04,-2.1e-04,-3.7e-07,3.9e-06,2.0e-07,2.2e-05,-1.5e-07,-1.7e-04,-4.0e-05,-2.0e-05,-4.9e-05,9.0e-05,2.1e-04,3.2e-06,-2.4e-04,-2.8e-05,1.5e-04,4.3e-08,1.6e-09
0.96,6.51,3.27,8.68,3.6e-06,-9.6e-06,-1.7e-04,-3.6e-05,-1.5e-04,7.0e-06,3.2e-06,-9.0e-07,2.9e-05,-8.2e-05,-1.7e-06,-2.7e-05,2.8e-06,9.3e-07,-9.7e-07,-2.0e-05,-2.7e-05,-3.1e-07,7.9e-06,1.5e-07,-6.1e-06,-1.5e-07,-1.5e-05,-4.7e-06,-1.9e-05,-6.6e-06,2.9e-05,2.4e-05,5.7e-06,8.0e-06,-1.7e-06,-9.5e-06,8.6e-09,1.8e-10
1.46,5.08,3.95,5.00,4.3e-06,-3.8e-06,-1.4e-04,-4.9e-05,-9.6e-05,4.9e-06,5.2e-06,-1.5e-06,2.6e-05,-4.3e-05,-9.4e-07,-1.4e-05,1.1e-06,6.5e-07,7.4e-06,-1.4e-05,-2.6e-05,-2.5e-07,4.9e-06,1.2e-07,-2.2e-06,-1.2e-07,-1.8e-05,-4.8e-06,-1.2e-05,-3.7e-06,3.4e-05,1.9e-05,2.8e-06,-6.1e-06,-3.8e-06,-5.1e-06,2.5e-08,4.0e-10
0.75,8.59,1.54,8.37,1.1e-05,-1.6e-05,-6.3e-04,-3.1e-05,-4.9e-04,3.1e-05,1.8e-06,-5.2e-07,1.1e-04,-2.8e-04,-5.9e-06,-1.2e-04,5.0e-06,3.5e-06,-1.7e-05,2.9e-06,-7.4e-05,-1.1e-06,2.6e-05,4.4e-07,-2.9e-05,-5.0e-07,-2.1e-05,-1.3e-05,-6.4e-05,-1.9e-06,1.5e-05,7.1e-05,1.4e-05,6.2e-05,2.5e-06,-6.3e-05,5.4e-09,1.5e-10
0.66,1.95,5.23,3.32,1.5e-05,-1.7e-05,-3.5e-04,-3.3e-04,-2.3e-04,4.1e-06,3.5e-05,-1.0e-05,7.9e-05,-4.9e-05,2.2e-07,1.9e-05,5.1e-06,4.3e-07,7.0e-05,-1.4e-04,-1.0e-04,-2.2e-07,4.4e-06,1.3e-07,1.5e-05,-1.1e-07,-1.0e-04,-1.7e-05,-1.4e-05,-4.0e-05,7.6e-05,8.6e-05,5.2e-06,-8.3e-05,-2.4e-05,5.3e-05,1.6e-08,6.8e-10
0.65,7.18,6.59,6.94,1.9e-06,-2.1e-05,-7.5e-05,-4.2e-05,-1.6e-04,1.8e-06,2.6e-06,-7.4e-07,1.1e-05,-8.5e-05,-1.3e-06,-1.2e-05,6.1e-06,2.5e-07,-6.5e-07,-7.6e-05,-1.3e-05,-8.3e-08,2.7e-06,4.7e-08,-4.3e-07,-4.4e-08,-1.4e-05,-4.0e-06,-7.5e-06,-3.3e-05,1.4e-05,8.8e-06,4.8e-06,-4.3e-06,2.3e-06,-9.3e-07,1.0e-09,9.7e-11
1.28,4.44,5.50,7.35,3.6e-06,-4.9e-06,-1.1e-04,-6.5e-05,-7.8e-05,2.7e-06,6.9e-06,-1.9e-06,2.2e-05,-3.0e-05,-4.6e-07,-4.1e-06,1.4e-06,3.6e-07,1.2e-05,-2.7e-05,-2.6e-05,-1.5e-07,3.2e-06,8.4e-08,7.4e-07,-7.4e-08,-2.2e-05,-4.1e-06,-8.3e-06,-6.9e-06,3.1e-05,2.2e-05,2.5e-06,-1.1e-05,-5.1e-06,6.4e-06,1.3e-08,3.2e-10
1.41,7.30,5.23,3.36,3.8e-06,-4.4e-06,-7.6e-05,-2.6e-05,-6.7e-05,2.8e-06,2.5e-06,-7.1e-07,1.5e-05,-3.3e-05,-6.4e-07,-9.9e-06,1.3e-06,4.0e-07,2.4e-06,-1.3e-05,-1.5e-05,-1.4e-07,3.4e-06,7.1e-08,-1.5e-06,-6.5e-08,-1.2e-05,-4.5e-06,-8.4e-06,-5.1e-06,1.9e-05,7.1e-07,2.4e-06,-1.2e-05,-1.9e-06,-1.4e-05,6.9e-09,3.0e-10
1.26,5.47,5.22,4.66,3.5e-06,-5.4e-06,-9.3e-05,-4.4e-05,-7.8e-05,2.9e-06,4.5e-06,-1.3e-06,1.8e-05,-3.5e-05,-6.3e-07,-7.7e-06,1.5e-06,4.0e-07,6.4e-06,-2.1e-05,-2.1e-05,-1.5e-07,3.5e-06,8.1e-08,-5.8e-07,-7.3e-08,-1.7e-05,-4.1e-06,-8.9e-06,-6.5e-06,2.6e-05,1.2e-05,2.7e-06,-9.7e-06,-3.5e-06,-3.1e-06,1.0e-08,3.0e-10
0.99,1.85,5.91,3.69,1.6e-05,-5.4e-06,-3.5e-04,-3.5e-04,-1.6e-04,3.6e-06,3.9e-05,-1.1e-05,8.5e-05,-1.6e-07,1.1e-06,1.5e-05,2.1e-06,3.5e-07,7.0e-05,-1.0e-04,-9.8e-05,-2.2e-07,3.4e-06,1.3e-07,1.2e-05,-9.6e-08,-9.1e-05,-1.7e-05,-1.2e-05,-2.4e-05,6.0e-05,8.6e-05,2.8e-06,-9.1e-05,-1.8e-05,5.6e-05,2.6e-08,9.3e-10
